iter	Logloss
0	0.6383572817
1	0.5892341137
2	0.5452004671
3	0.4953573942
4	0.4780929089
5	0.4452560544
6	0.4155970812
7	0.3887764513
8	0.3574663997
9	0.3360168636
10	0.3108199537
11	0.2935315371
12	0.2777150869
13	0.2632026076
14	0.2458574176
15	0.2406624109
16	0.2291138619
17	0.2184458971
18	0.2053319812
19	0.1964192837
20	0.1881216764
21	0.1803896576
22	0.1731764674
23	0.1664399058
24	0.1601436585
25	0.1542513222
26	0.148731336
27	0.1435547471
28	0.1369746923
29	0.1324833035
30	0.1282126606
31	0.1241752952
32	0.1203573421
33	0.1167613715
34	0.1133768782
35	0.10893327
36	0.1059283465
37	0.1030632704
38	0.1003297269
39	0.09772238135
40	0.09523236752
41	0.09285308421
42	0.09057632089
43	0.08839987218
44	0.08631677926
45	0.08432047069
46	0.08240798116
47	0.08057302237
48	0.07881420851
49	0.07712440938
50	0.07550250739
