train__pr-q4-9yr_pr-q3-9yr__mertic,train__pr-q4-9yr_pr-q3-9yr__ampl,test__sddata_9yr__mertic,test__sddata_9yr__ampl
0.0005941400886513293,0.16657589375972748,0.0003636410692706704,0.2284594476222992
0.0002599349827505648,0.17531782388687134,0.0022719972766935825,0.0199750903993845
0.0004752864479087293,0.222035214304924,0.000830115401186049,0.35179898142814636
0.000941359787248075,0.26029956340789795,0.000269352545728907,0.03848843649029732
0.003056480549275875,0.5489270687103271,0.0005053726490586996,0.18870379030704498
0.00040011739474721253,0.03856819123029709,0.00032335161813534796,0.06345049291849136
0.0005419625667855144,0.12106145918369293,0.0002241391339339316,0.022769279778003693
0.0009728333679959178,0.34542733430862427,0.0002392746100667864,0.10589656978845596
0.0008225452620536089,0.14241240918636322,0.0012947563081979752,0.07488826662302017
0.00030860849074088037,0.18670853972434998,0.0003878729185089469,0.15348850190639496
0.0007234073127619922,0.5845672488212585,0.0006596436724066734,0.1440880298614502
0.0005671278340741992,0.3436291217803955,0.00010062688670586795,0.054330311715602875
0.00014109052426647395,0.059717416763305664,0.0007347518112510443,0.16682478785514832
0.0007495098398067057,0.11452490091323853,0.00013394032430369407,0.1460460126399994
0.0012922637397423387,0.07191620767116547,0.00015841101412661374,0.3274380564689636
0.0006764368736185133,0.19405993819236755,0.0005341017385944724,0.043992768973112106
0.0005688625969924033,0.17032478749752045,0.0006863323505967855,0.06794438511133194
0.0014099947875365615,0.04247865080833435,0.0002810126170516014,0.03312653303146362
0.0005346420221030712,0.07159391790628433,0.0006579049513675272,0.11486771702766418
0.0004991390742361546,0.2030118703842163,0.0012589392717927694,0.04604601114988327
0.00017209330690093338,0.04977342113852501,0.00018880255811382085,0.06416012346744537
0.0002347283298149705,0.05268996208906174,0.0001006399470497854,0.04082813113927841
0.0005486623267643154,0.10420400649309158,0.0005689244717359543,0.14850443601608276
0.00035183230647817254,0.06846761703491211,0.00018379755783826113,0.271533340215683
0.00012645503738895059,0.049440477043390274,0.0003338897950015962,0.036229416728019714
0.0003716715145856142,0.05476851388812065,0.0012008792255073786,0.5726285576820374
0.00039309237035922706,0.03810757026076317,0.00030530086951330304,0.0446903258562088
0.00031895909341983497,0.19276748597621918,0.000879479106515646,0.8391354084014893
0.0022139479406177998,0.08146054297685623,0.0009323303820565343,0.13222821056842804
0.0003259863005951047,0.21665991842746735,0.0009539707098156214,0.4388578236103058
0.0006784364231862128,0.42074182629585266,0.00021293151075951755,0.0375279001891613
0.0003009922511409968,0.08780147135257721,0.00035601758281700313,0.02779402583837509
0.0005699775065295398,0.6205585598945618,0.00037778326077386737,0.04127296432852745
0.0007346375496126711,0.08076655864715576,0.001186845009215176,0.8149203658103943
0.0003530752728693187,0.12017297744750977,0.0010639732936397195,0.6791647672653198
0.0002087112661683932,0.022545451298356056,0.0010309198405593634,0.5572280883789062
0.0017036594217643142,0.26050153374671936,0.0004747532366309315,0.3818569779396057
0.0013945297105237842,0.5122876763343811,0.000302387576084584,0.018910959362983704
0.0004831177357118577,0.35341310501098633,0.0008124251617118716,0.4499056935310364
0.0005814218311570585,0.12488490343093872,0.00016279288684017956,0.06945525854825974
0.0006971704424358904,0.037096042186021805,0.0016834570560604334,0.6445330381393433
0.0012381701963022351,0.23685967922210693,0.00111805135384202,0.03538624197244644
0.0010394393466413021,0.07621586322784424,0.00045274116564542055,0.3758932650089264
0.00028370367363095284,0.03505423665046692,0.00032750196987763047,0.16507144272327423
0.0006280749221332371,0.1911742389202118,0.0001619310351088643,0.041724856942892075
0.0002634104457683861,0.04686154052615166,0.0006593572325073183,0.1633206009864807
0.0007109891739673913,0.1086626648902893,0.0011723311617970467,0.06440168619155884
0.000733412045519799,0.04280097410082817,0.0005008573061786592,0.03136680647730827
0.0005917947855778039,0.18070852756500244,0.0005210712552070618,0.030175652354955673
0.00025014913990162313,0.12842030823230743,0.0003402362926863134,0.08033107221126556
0.0008197681745514274,0.27808961272239685,0.00023002784291747957,0.07871103286743164
0.0011931834742426872,0.07893040776252747,0.00032333226408809423,0.2102537304162979
0.00013361781020648777,0.27969124913215637,0.0008602604502812028,0.46043169498443604
0.0011264145141467452,0.25543543696403503,0.00031483566272072494,0.21969613432884216
0.0003231086302548647,0.05945771187543869,0.00023074023192748427,0.12513825297355652
0.0006443450693041086,0.03299940750002861,0.0003043222241103649,0.28599491715431213
0.0003877303097397089,0.12138089537620544,0.0007961895316839218,0.49714621901512146
0.00019096845062449574,0.5867966413497925,0.00025144030223600566,0.3527218997478485
0.000654319766908884,0.15313611924648285,0.0004929645801894367,0.2647537589073181
0.000520167057402432,0.04005148261785507,0.0008046701550483704,0.02506319060921669
0.0022370913065969944,0.08222093433141708,0.0002582530432846397,0.1310359090566635
0.0002054314099950716,0.3264197111129761,0.0004656677774619311,0.056359853595495224
0.0016684636939316988,0.03650974482297897,0.0006419170531444252,0.1169501319527626
0.0007120166555978358,0.21727077662944794,0.0006193509907461703,0.3565002381801605
0.00020224106265231967,0.04191768541932106,0.00020325547666288912,0.3325381278991699
0.0006342657725326717,0.12405289709568024,0.00028634502086788416,0.09228476881980896
0.0013240027474239469,0.4104134142398834,0.0006339954561553895,0.43150627613067627
0.0001492300070822239,0.02939622476696968,0.0010607896838337183,0.05027829110622406
0.000473727093776688,0.16793622076511383,0.001916741719469428,0.036794569343328476
0.0006835056119598448,0.3541724979877472,0.0006351296324282885,0.27980783581733704
0.0019079878693446517,0.05948902294039726,0.0003812107315752655,0.5018132925033569
0.0006448017084039748,0.11562881618738174,0.0004620548279490322,0.4351342022418976
