train__pr-q4-9yr__mertic,train__pr-q4-9yr__ampl,test__sddata_9yr__mertic,test__sddata_9yr__ampl
0.000797542801592499,0.1541246920824051,0.0002871802425943315,0.3088836669921875
0.001019286341033876,0.5015254616737366,0.00034843600587919354,0.07483630627393723
0.0003099763998761773,0.044371917843818665,0.0004106599953956902,0.1323929727077484
0.0004334215773269534,0.053324755281209946,0.0005225809873081744,0.44893261790275574
0.00020475969358813018,0.06868810206651688,0.00015029001224320382,0.15344931185245514
0.0004794500709977001,0.31180140376091003,0.00016849495295900851,0.10061807185411453
0.0012193892616778612,0.47188442945480347,0.0002296280872542411,0.07454825937747955
0.0004597264633048326,0.1860283464193344,0.000543121830560267,0.15547452867031097
0.0007292291265912354,0.45463433861732483,0.00028021965408697724,0.15883857011795044
0.00011913209891645238,0.03080248087644577,0.00161349109839648,0.5011364817619324
0.0003749558818526566,0.025019586086273193,0.0001198067402583547,0.07788677513599396
0.00041318198782391846,0.12236718833446503,0.001133740064688027,0.4614548981189728
0.0005201554740779102,0.11431774497032166,0.00014967206516303122,0.11979185789823532
0.00020931923063471913,0.06609403342008591,0.00011008822184521705,0.03311331570148468
0.00023033414618112147,0.054381538182497025,0.00014958517567720264,0.06646928191184998
0.00045407505240291357,0.13014057278633118,0.00042308669071644545,0.09686297923326492
0.00023190058709587902,0.05775610730051994,0.0004519392969086766,0.7327199578285217
0.0004956584889441729,0.3727415204048157,0.00014268748054746538,0.04198874905705452
0.0022890781983733177,0.6749752759933472,0.00040331328636966646,0.5018132925033569
0.00046169463894329965,0.17582760751247406,0.0007505434914492071,0.5292643308639526
0.00043286316213198006,0.06552068889141083,0.00016153027536347508,0.09594118595123291
0.0006119003519415855,0.5128297209739685,0.00023106175649445504,0.05511446297168732
0.00047464779345318675,0.13025330007076263,0.00036470391205511987,0.16198177635669708
0.00043813473894260824,0.34301242232322693,0.00021838389511685818,0.06808772683143616
0.00012200551282148808,0.06961973756551743,0.0007110959850251675,0.7451601624488831
0.000452873733593151,0.6567018032073975,0.0002566099865362048,0.05027829110622406
0.0013717332622036338,0.888550341129303,0.00018279133655596524,0.2556474804878235
0.00013777245476376265,0.07208593934774399,0.0004684214654844254,0.04729345813393593
0.00026107573648914695,0.1210237368941307,9.127717930823565e-05,0.053373198956251144
0.00020830168796237558,0.0416235588490963,0.00019289925694465637,0.12037044763565063
0.00013189275341574103,0.023224137723445892,0.00014058103261049837,0.03107762150466442
8.698207238921896e-05,0.08381559699773788,0.0003448372590355575,0.10120578110218048
0.00032217943225987256,0.029878756031394005,8.551529754186049e-05,0.05398871377110481
0.00022929902479518205,0.05199892073869705,0.00011534764780662954,0.034261856228113174
0.0015095145208761096,0.29611003398895264,0.00029303066548891366,0.06809638440608978
0.0006602287758141756,0.46728500723838806,0.00039417060906998813,0.15173402428627014
0.0009294995688833296,0.3419913351535797,0.00027470907662063837,0.07834254950284958
0.0004507604753598571,0.04118756204843521,0.0005095209926366806,0.3099866211414337
0.0001734263205435127,0.11402247846126556,0.0005296207964420319,0.20703302323818207
0.00039536168333142996,0.35778436064720154,0.0003102380724158138,0.08478234708309174
0.00030515057733282447,0.2729073166847229,0.00033719331258907914,0.0289373267441988
5.678968591382727e-05,0.09253756701946259,0.0006515429704450071,0.5924796462059021
0.0010802019387483597,0.42027193307876587,0.0008586050244048238,0.12221404165029526
9.207698894897476e-05,0.09960772097110748,0.0008308566175401211,0.5614667534828186
0.00016424836940132082,0.1092301458120346,0.00012486375635489821,0.06605613231658936
0.0010697428369894624,0.7033557295799255,0.0005042168195359409,0.09822049736976624
0.00014833179011475295,0.08476101607084274,6.693942123092711e-05,0.059154409915208817
0.00017307618691120297,0.07352088391780853,0.000188744772458449,0.03335350751876831
0.0002912039344664663,0.04821998253464699,0.0009450225043110549,0.26707592606544495
0.0006919114966876805,0.41000908613204956,0.0001764387998264283,0.04494008794426918
0.0003426390467211604,0.11342925578355789,0.0001230934722116217,0.07830654084682465
0.0001273446250706911,0.13250964879989624,0.0001324643671978265,0.08018749952316284
0.00036332753370516,0.6427341103553772,0.0008895578212104738,0.2588287591934204
0.0009525112109258771,0.36875882744789124,0.0007033274159766734,0.6223986148834229
0.00014899000234436244,0.0765177384018898,0.0008373791933991015,0.5681779384613037
0.00016663411224726588,0.05404606834053993,0.002753716427832842,0.21971915662288666
0.00016018022142816335,0.053517453372478485,0.0004436221206560731,0.5019614100456238
0.0010284633608534932,0.1933230310678482,0.00020109584147576243,0.07049783319234848
0.0004770830855704844,0.25395843386650085,0.0003401071298867464,0.2685070335865021
0.00031754077645018697,0.3012154996395111,0.00021882177679799497,0.042597658932209015
0.00020909839076921344,0.042840734124183655,0.00041626638267189264,0.2571971118450165
0.0009037150884978473,0.5551778674125671,0.00021719260257668793,0.04009115323424339
0.0003809185582213104,0.3105747401714325,0.000310348579660058,0.20169870555400848
0.0003437756095081568,0.14768549799919128,0.00013894746371079236,0.03921835124492645
0.00028285084408707917,0.032117702066898346,0.00010869374091271311,0.03093496337532997
0.00038694438990205526,0.15902411937713623,0.0009573583374731243,0.6364636421203613
0.0006121998303569853,0.186151921749115,0.00011368264677003026,0.03944965824484825
0.00012118877202738076,0.04330632463097572,0.000465555174741894,0.04157240688800812
0.00022992980666458607,0.107363261282444,0.0013949901331216097,0.8047976493835449
0.0003153708530589938,0.02068537287414074,0.00025668228045105934,0.09866441041231155
0.0007366013014689088,0.43566736578941345,0.0002147662453353405,0.3676551580429077
0.0006708868895657361,0.10999280214309692,0.0001296490227105096,0.12311122566461563
0.00022459676256403327,0.04761162027716637,0.0008125305757857859,0.19570235908031464
0.00012884184252470732,0.01674240455031395,0.001652478240430355,0.3067780137062073
0.00040937174344435334,0.14006391167640686,0.00034665598650462925,0.051150862127542496
0.00018925470067188144,0.07213224470615387,0.00018892204388976097,0.17594702541828156
0.0010439835023134947,0.36123165488243103,0.0003293732297606766,0.15140312910079956
0.00024632454733364284,0.4191153049468994,0.00024135003332048655,0.04148945212364197
