train__pr-q4-9yr__mertic,train__pr-q4-9yr__ampl,train__pr-q4-9yr__energy,test__sddata_9yr__mertic,test__sddata_9yr__ampl,test__sddata_9yr__energy,test__fe-q4-9yr__mertic,test__fe-q4-9yr__ampl,test__fe-q4-9yr__energy,test__pr-q3-9yr__mertic,test__pr-q3-9yr__ampl,test__pr-q3-9yr__energy
0.0012790558394044638,0.8111914396286011,18.76569938659668,0.00042068399488925934,0.043220240622758865,0.0,0.0004083653329871595,0.2667398750782013,1.197219967842102,0.00020486894936766475,0.06122994422912598,1.6326600313186646
0.0003916569403372705,0.09434300661087036,31.0939998626709,0.000251285353442654,0.04746847227215767,0.0,0.0004311169614084065,0.4871256351470947,1.198490023612976,0.00019674836948979646,0.2953815162181854,2.459980010986328
0.00029847677797079086,0.10150034725666046,12.177399635314941,0.00022546089894603938,0.10457643121480942,0.0,0.00035646010655909777,0.06251540780067444,1.9330899715423584,0.00026594873634167016,0.05171302333474159,2.1731700897216797
0.0003624501114245504,0.13234789669513702,16.63599967956543,0.00018215503951068968,0.24447885155677795,0.0,0.00035741186002269387,0.029866233468055725,3.0699899196624756,0.00035445287358015776,0.22060444951057434,5.931940078735352
0.0008107406902126968,0.35088294744491577,19.641199111938477,0.0008075960795395076,0.21167755126953125,0.0,0.00016513047739863396,0.02995118498802185,2.4497299194335938,0.0005015907809138298,0.7676957845687866,4.691659927368164
0.0006205703830346465,0.2579682469367981,26.763399124145508,0.0003206383844371885,0.032251227647066116,0.0,0.0002407385763945058,0.03168477490544319,3.2542099952697754,0.0002130045904777944,0.13668279349803925,3.854259967803955
0.0006710879388265312,0.43890684843063354,19.715099334716797,0.0008093874785117805,0.7438772320747375,0.0,0.0001178213715320453,0.05236918479204178,1.5666199922561646,0.0004979576915502548,0.05490115284919739,4.097559928894043
0.0019813382532447577,0.47629183530807495,21.561899185180664,0.0004405259096529335,0.036600638180971146,0.0,0.0009518209844827652,0.3746570944786072,3.7501299381256104,0.00038360210601240396,0.029206927865743637,3.843640089035034
0.0006032011588104069,0.2650797367095947,26.64550018310547,0.0002736529568210244,0.22033627331256866,0.0,0.0003293385379947722,0.10841615498065948,2.270519971847534,0.0004568173026200384,0.09660936146974564,3.2593600749969482
0.0003892591630574316,0.07272525131702423,21.895700454711914,0.00033122324384748936,0.4051331579685211,0.0,0.0004130125162191689,0.20389236509799957,2.295949935913086,0.00045060645788908005,0.15276695787906647,2.9917800426483154
0.0007276628166437149,0.6399803161621094,19.95159912109375,0.0007802515756338835,0.7947912812232971,0.0,0.0002263566420879215,0.11341641843318939,1.7079600095748901,0.0003861452278215438,0.060638751834630966,2.567739963531494
0.0005790972500108182,0.28370559215545654,21.608299255371094,0.000310733710648492,0.05436016619205475,0.0,0.0002224153431598097,0.1828971952199936,1.6010600328445435,0.0002755802415776998,0.047849565744400024,2.5004899501800537
0.00027098716236650944,0.12887641787528992,19.995100021362305,0.00030031343339942396,0.06567123532295227,0.0,0.0021004648879170418,0.2871744930744171,2.2772700786590576,0.0004366231441963464,0.12862451374530792,3.029639959335327
0.0007488574483431876,0.2593575417995453,16.545299530029297,0.0005806286935694516,0.036264050751924515,0.0,0.0003634303866419941,0.04015550762414932,2.148129940032959,0.00069264299236238,0.04893499240279198,5.128439903259277
0.0003612943401094526,0.0591614656150341,19.96489906311035,0.0012675521429628134,0.38266822695732117,0.0,0.00024100756854750216,0.24743428826332092,2.7014598846435547,0.00046021584421396255,0.07466880977153778,2.381150007247925
