iter	Passed	Remaining
410	4147	96769
411	4158	96769
412	4167	96738
413	4177	96719
414	4185	96678
415	4195	96656
416	4204	96625
417	4214	96613
418	4223	96582
419	4232	96551
420	4242	96518
421	4252	96508
422	4261	96481
423	4270	96443
424	4279	96416
425	4288	96381
426	4297	96341
427	4306	96316
428	4316	96290
429	4325	96263
430	4334	96236
431	4344	96213
432	4353	96197
433	4364	96206
434	4375	96205
435	4385	96196
436	4395	96193
437	4405	96178
438	4414	96154
439	4425	96145
440	4434	96120
441	4443	96083
442	4452	96055
443	4462	96035
444	4471	96006
445	4480	95977
446	4489	95949
447	4498	95922
448	4508	95899
449	4517	95867
450	4526	95839
451	4536	95832
452	4546	95816
453	4555	95790
454	4565	95776
455	4575	95761
456	4584	95736
457	4594	95722
458	4603	95692
459	4613	95675
460	4623	95664
461	4632	95648
462	4642	95632
463	4652	95618
464	4662	95597
465	4671	95568
466	4680	95537
467	4689	95508
468	4698	95484
469	4708	95463
470	4717	95442
471	4726	95420
472	4736	95395
473	4745	95371
474	4754	95342
475	4763	95316
476	4773	95298
477	4782	95269
478	4791	95242
479	4800	95214
480	4812	95234
481	4822	95238
482	4832	95221
483	4842	95210
484	4852	95193
485	4865	95253
486	4875	95242
487	4885	95224
488	4894	95192
489	4903	95159
490	4912	95128
491	4921	95108
492	4930	95083
493	4939	95052
494	4948	95030
495	4958	95011
496	4967	94989
497	4976	94955
498	4986	94935
499	4995	94919
500	5005	94902
501	5014	94873
502	5025	94882
503	5036	94894
504	5046	94883
505	5055	94864
506	5066	94861
507	5075	94841
508	5086	94840
509	5095	94817
510	5104	94790
511	5113	94759
512	5122	94727
513	5131	94697
514	5140	94678
515	5149	94651
516	5158	94623
517	5168	94600
518	5177	94574
519	5185	94541
520	5195	94532
521	5206	94529
522	5215	94513
523	5224	94488
524	5237	94525
525	5253	94631
526	5268	94696
527	5286	94831
528	5299	94881
529	5308	94856
530	5317	94832
531	5327	94810
532	5336	94790
533	5345	94764
534	5355	94739
535	5363	94710
536	5373	94684
537	5382	94663
538	5391	94632
539	5400	94607
540	5409	94581
541	5419	94564
542	5428	94548
543	5439	94549
544	5449	94539
545	5459	94532
546	5469	94520
547	5478	94501
548	5488	94482
549	5497	94456
550	5506	94434
551	5516	94417
552	5526	94407
553	5535	94386
554	5545	94376
555	5554	94351
556	5563	94325
557	5573	94303
558	5582	94283
559	5591	94258
560	5600	94236
561	5609	94208
562	5618	94179
563	5627	94154
564	5636	94127
565	5645	94104
566	5654	94076
567	5665	94087
568	5674	94056
569	5684	94035
570	5694	94028
571	5703	94013
572	5713	93995
573	5723	93986
574	5733	93977
575	5742	93954
576	5752	93941
577	5762	93932
578	5772	93921
579	5781	93905
580	5791	93894
581	5808	93990
582	5818	93982
583	5827	93964
584	5837	93946
585	5846	93926
586	5861	93993
587	5870	93968
588	5879	93945
589	5888	93923
590	5897	93894
591	5907	93887
592	5918	93881
593	5927	93860
594	5936	93832
595	5946	93830
596	5962	93914
597	5977	93984
598	5988	93979
599	5997	93966
600	6007	93951
601	6016	93927
602	6026	93909
603	6035	93887
604	6044	93867
605	6054	93849
606	6063	93830
607	6072	93806
608	6082	93789
609	6091	93761
610	6099	93735
611	6109	93714
612	6118	93690
613	6127	93669
614	6137	93654
615	6146	93629
616	6157	93640
617	6168	93640
618	6179	93653
619	6189	93635
620	6198	93623
621	6208	93612
622	6221	93643
623	6231	93636
624	6241	93624
625	6251	93614
626	6261	93602
627	6271	93588
628	6281	93579
629	6290	93562
630	6300	93549
631	6310	93532
632	6320	93525
633	6330	93517
634	6339	93492
635	6348	93476
636	6358	93462
637	6367	93436
638	6381	93481
639	6400	93600
640	6412	93633
641	6422	93620
642	6432	93606
643	6442	93594
644	6451	93573
645	6460	93551
646	6469	93526
647	6479	93509
648	6488	93484
649	6498	93473
650	6507	93451
651	6516	93430
652	6525	93411
653	6535	93390
654	6543	93358
655	6553	93343
656	6562	93328
657	6572	93311
658	6582	93306
659	6592	93291
660	6602	93288
661	6612	93273
662	6621	93253
663	6631	93234
664	6640	93216
665	6650	93203
666	6659	93183
667	6669	93168
668	6678	93152
669	6688	93141
670	6697	93118
671	6706	93098
672	6716	93080
673	6725	93064
674	6735	93043
675	6743	93018
676	6753	92996
677	6762	92979
678	6771	92953
679	6780	92937
680	6790	92918
681	6799	92895
682	6808	92874
683	6817	92856
684	6827	92845
685	6838	92848
686	6852	92893
687	6862	92884
688	6872	92875
689	6881	92857
690	6892	92848
691	6901	92834
692	6911	92822
693	6921	92810
694	6930	92788
695	6939	92768
696	6948	92745
697	6957	92722
698	6966	92694
699	6975	92673
700	6984	92655
701	6993	92634
702	7003	92620
703	7012	92600
704	7021	92579
705	7031	92563
706	7041	92554
707	7051	92539
708	7060	92517
709	7071	92529
710	7082	92529
711	7092	92524
712	7102	92515
713	7112	92497
714	7121	92480
715	7131	92469
716	7140	92451
717	7149	92426
718	7158	92406
719	7168	92388
720	7177	92371
721	7186	92354
722	7196	92336
723	7205	92315
724	7214	92296
725	7223	92278
726	7233	92264
727	7242	92248
728	7252	92231
729	7261	92211
730	7271	92201
731	7281	92192
732	7290	92176
733	7300	92165
734	7310	92149
735	7320	92138
736	7330	92128
737	7339	92116
738	7349	92102
739	7359	92095
740	7368	92075
741	7378	92058
742	7387	92041
743	7397	92025
744	7406	92011
745	7416	91995
746	7425	91973
747	7434	91957
748	7443	91933
749	7452	91910
750	7461	91891
751	7470	91873
752	7480	91858
753	7489	91846
754	7500	91838
755	7511	91852
756	7522	91847
757	7532	91835
758	7542	91829
759	7552	91819
760	7562	91807
761	7571	91796
762	7580	91771
763	7589	91743
764	7598	91725
765	7607	91705
766	7616	91687
767	7625	91667
768	7635	91651
769	7643	91627
770	7653	91613
771	7662	91598
772	7671	91571
773	7680	91553
774	7690	91537
775	7699	91516
776	7708	91505
777	7719	91503
778	7729	91495
779	7739	91481
780	7749	91470
781	7758	91456
782	7768	91448
783	7777	91429
784	7786	91409
785	7796	91396
786	7806	91390
787	7816	91371
788	7825	91360
789	7835	91344
790	7849	91389
791	7858	91370
792	7868	91352
793	7877	91331
794	7886	91318
795	7895	91299
796	7905	91284
797	7915	91277
798	7924	91260
799	7934	91242
800	7943	91226
801	7952	91211
802	7961	91190
803	7972	91182
804	7981	91171
805	7991	91159
806	8000	91143
807	8010	91128
808	8020	91118
809	8029	91103
810	8038	91080
811	8047	91063
812	8057	91049
813	8066	91034
814	8076	91026
815	8085	91003
816	8096	90998
817	8105	90986
818	8115	90969
819	8123	90947
820	8133	90929
821	8142	90909
822	8150	90888
823	8160	90872
824	8169	90853
825	8178	90834
826	8187	90819
827	8197	90801
828	8206	90787
829	8216	90776
830	8225	90759
831	8236	90754
832	8251	90805
833	8263	90821
834	8273	90809
835	8283	90806
836	8293	90792
837	8303	90780
838	8312	90764
839	8321	90748
840	8331	90730
841	8340	90717
842	8349	90699
843	8358	90679
844	8368	90665
845	8377	90643
846	8386	90625
847	8395	90604
848	8404	90590
849	8414	90575
850	8423	90560
851	8433	90549
852	8442	90529
853	8451	90509
854	8466	90559
855	8482	90611
856	8492	90603
857	8501	90588
858	8511	90576
859	8521	90561
860	8530	90545
861	8538	90521
862	8548	90502
863	8556	90481
864	8565	90456
865	8574	90435
866	8583	90417
867	8592	90397
868	8601	90375
869	8610	90355
870	8618	90335
871	8628	90325
872	8638	90313
873	8647	90299
874	8657	90281
875	8671	90319
876	8689	90394
877	8700	90390
878	8710	90381
879	8720	90372
880	8730	90363
881	8739	90348
882	8748	90331
883	8758	90319
884	8767	90299
885	8777	90291
886	8786	90276
887	8798	90281
888	8808	90271
889	8818	90269
890	8828	90259
891	8838	90249
892	8855	90312
893	8865	90301
894	8874	90282
895	8884	90271
896	8894	90266
897	8904	90256
898	8914	90241
899	8923	90226
900	8933	90214
901	8943	90203
902	8953	90194
903	8962	90180
904	8972	90172
905	8982	90160
906	8991	90144
907	9000	90122
908	9009	90102
909	9018	90081
910	9026	90060
911	9036	90048
912	9045	90032
913	9055	90022
914	9064	90005
915	9074	89988
916	9082	89968
917	9092	89950
918	9101	89936
919	9111	89926
920	9121	89915
921	9130	89901
922	9141	89896
923	9151	89888
924	9161	89883
925	9171	89875
926	9181	89866
927	9192	89860
928	9201	89848
929	9210	89831
930	9220	89817
931	9229	89801
932	9239	89786
933	9248	89773
934	9257	89757
935	9267	89744
936	9276	89728
937	9287	89723
938	9296	89704
939	9305	89690
940	9314	89671
941	9323	89656
942	9333	89644
943	9343	89636
944	9358	89671
945	9377	89750
946	9392	89791
947	9402	89783
948	9412	89770
949	9421	89756
950	9431	89738
951	9440	89720
952	9448	89700
953	9458	89683
954	9467	89664
955	9476	89650
956	9485	89635
957	9495	89620
958	9504	89604
959	9513	89585
960	9522	89565
961	9532	89555
962	9541	89540
963	9551	89527
964	9561	89523
965	9571	89516
966	9581	89505
967	9591	89490
968	9600	89478
969	9610	89465
970	9620	89457
971	9629	89441
972	9639	89427
973	9648	89415
974	9657	89396
975	9667	89384
976	9677	89371
977	9685	89352
978	9695	89336
979	9704	89324
980	9713	89306
981	9723	89294
982	9732	89278
983	9742	89262
984	9750	89242
985	9759	89225
986	9769	89209
987	9778	89193
988	9787	89178
989	9797	89170
990	9807	89154
991	9817	89145
992	9827	89139
993	9837	89130
994	9854	89187
995	9864	89179
996	9874	89165
997	9883	89151
998	9893	89141
999	9902	89124
1000	9911	89108
1001	9921	89091
1002	9930	89079
1003	9939	89061
1004	9948	89045
1005	9958	89031
1006	9967	89014
1007	9977	89001
1008	9986	88988
1009	9996	88978
1010	10006	88966
1011	10015	88954
1012	10024	88934
1013	10035	88930
1014	10045	88924
1015	10055	88916
1016	10066	88911
1017	10075	88897
1018	10085	88885
1019	10095	88879
1020	10105	88866
1021	10114	88856
1022	10124	88844
1023	10134	88831
1024	10143	88813
1025	10152	88798
1026	10160	88777
1027	10170	88760
1028	10179	88744
1029	10188	88730
1030	10198	88715
1031	10206	88697
1032	10215	88679
1033	10225	88663
1034	10234	88645
1035	10243	88631
1036	10252	88614
1037	10261	88599
1038	10271	88585
1039	10281	88579
1040	10291	88569
1041	10301	88558
1042	10311	88548
1043	10321	88546
1044	10331	88537
1045	10340	88521
1046	10350	88510
1047	10360	88499
1048	10369	88483
1049	10378	88465
1050	10388	88454
1051	10397	88434
1052	10406	88419
1053	10415	88402
1054	10424	88386
1055	10433	88372
1056	10443	88358
