iter	Passed	Remaining
415	2887	17936
416	2893	17923
417	2900	17917
418	2906	17903
419	2912	17890
420	2923	17911
421	2929	17898
422	2935	17884
423	2941	17873
424	2947	17860
425	2953	17847
426	2961	17842
427	2969	17843
428	2975	17833
429	2982	17824
430	2992	17834
431	3005	17865
432	3015	17876
433	3021	17866
434	3027	17854
435	3033	17841
436	3041	17836
437	3047	17823
438	3053	17812
439	3059	17799
440	3065	17787
441	3071	17774
442	3077	17762
443	3083	17749
444	3089	17735
445	3094	17722
446	3100	17708
447	3106	17694
448	3112	17680
449	3118	17673
450	3124	17661
451	3130	17648
452	3136	17635
453	3142	17621
454	3148	17609
455	3154	17596
456	3162	17597
457	3172	17606
458	3178	17596
459	3184	17586
460	3191	17575
461	3197	17563
462	3204	17557
463	3210	17545
464	3216	17534
465	3229	17563
466	3240	17577
467	3246	17565
468	3252	17554
469	3258	17541
470	3264	17530
471	3270	17518
472	3276	17506
473	3282	17492
474	3288	17481
475	3294	17468
476	3300	17456
477	3306	17443
478	3311	17430
479	3317	17418
480	3323	17404
481	3329	17394
482	3335	17383
483	3341	17371
484	3347	17358
485	3353	17347
486	3359	17334
487	3365	17324
488	3372	17316
489	3384	17337
490	3396	17356
491	3406	17362
492	3411	17350
493	3417	17338
494	3424	17328
495	3430	17316
496	3436	17306
497	3442	17293
498	3447	17280
499	3456	17281
500	3462	17272
501	3468	17261
502	3474	17249
503	3480	17238
504	3486	17227
505	3494	17223
506	3500	17214
507	3508	17209
508	3516	17209
509	3529	17230
510	3542	17254
511	3555	17275
512	3560	17263
513	3567	17253
514	3573	17243
515	3579	17232
516	3586	17223
517	3592	17212
518	3598	17202
519	3605	17196
520	3612	17188
521	3618	17176
522	3625	17171
523	3633	17168
524	3639	17159
525	3647	17153
526	3652	17141
527	3660	17135
528	3666	17126
529	3672	17114
530	3678	17103
531	3684	17091
532	3693	17095
533	3699	17084
534	3707	17080
535	3713	17070
536	3719	17059
537	3725	17047
538	3731	17036
539	3737	17025
540	3743	17014
541	3750	17009
542	3756	16998
543	3762	16988
544	3768	16977
545	3775	16967
546	3781	16957
547	3787	16947
548	3793	16938
549	3802	16940
550	3814	16955
551	3821	16946
552	3827	16936
553	3833	16927
554	3840	16920
555	3847	16910
556	3853	16900
557	3859	16891
558	3864	16876
559	3870	16862
560	3875	16849
561	3891	16883
562	3903	16897
563	3916	16916
564	3923	16907
565	3929	16896
566	3934	16884
567	3940	16873
568	3950	16877
569	3961	16888
570	3973	16902
